"Sport","Game_Type","Entry_Key","Entry","Contest_Key","Contest_Date_EST","Place","Points","Winnings_Non_Ticket","Winnings_Ticket","Contest_Entries","Entry_Fee","Prize_Pool","Places_Paid"
"NFL","Showdown Captain Mode",5255989187,"NFL Showdown Satellite to NBA 10-20 $20 Opening Tip Off (DEN @ KC) (1/2)",195521607,"2026-09-14 20:15:00",59,63.75,"$0.00","$0.00",95,"$0.25","$20.00",1
"NFL","Showdown Captain Mode",5256004876,"NFL Showdown Satellite to NBA 10-20 $20 Opening Tip Off (DEN @ KC) (2/2)",195521607,"2026-09-14 20:15:00",89,34.16,"$0.00","$0.00",95,"$0.25","$20.00",1
"NFL","Showdown Captain Mode",5256003495,"NFL Showdown $12.5K Quarter Jukebox [Just $0.25!] (DEN @ KC) (2/2)",195526256,"2026-09-14 20:15:00",55683,38.89,"$0.00","$0.00",59453,"$0.25","$12,500.00",14265
"NFL","Showdown Captain Mode",5255997413,"NFL Showdown $12.5K Quarter Jukebox [Just $0.25!] (DEN @ KC) (1/2)",195526256,"2026-09-14 20:15:00",53940,43.59,"$0.00","$0.00",59453,"$0.25","$12,500.00",14265
"NFL","Showdown Captain Mode",5256002945,"NFL Showdown $7.5K Daily Dollar [Single Entry] (DEN @ KC)",195526271,"2026-09-14 20:15:00",4517,69.75,"$0.00","$0.00",8917,"$1.00","$7,500.00",2305
"NFL","Showdown Captain Mode",5255996719,"NFL Showdown $75K First Down [20 Entry Max] (DEN @ KC)",195526255,"2026-09-14 20:15:00",71167,54.55,"$0.00","$0.00",89179,"$1.00","$75,000.00",24076
"NFL","Showdown Captain Mode",5255996749,"NFL Showdown $100K mini-MAX [150 Entry Max] (DEN @ KC)",195526229,"2026-09-14 20:15:00",221219,40.46,"$0.00","$0.00",237812,"$0.50","$100,000.00",49940
"NFL","Showdown Captain Mode",5255997572,"NFL Showdown $5K Dime Package [Just $0.10!]  (DEN @ KC) (1/2)",195526257,"2026-09-14 20:15:00",35780,64.53,"$0.00","$0.00",59453,"$0.10","$5,000.00",14240
"NFL","Showdown Captain Mode",5256003519,"NFL Showdown $5K Dime Package [Just $0.10!]  (DEN @ KC) (2/2)",195526257,"2026-09-14 20:15:00",40957,59.93,"$0.00","$0.00",59453,"$0.10","$5,000.00",14240
"NFL","Showdown Captain Mode",5254911935,"NFL Showdown 40x Micro Booster [Top 5 Win $10] (DAL @ NYG)",195641911,"2026-09-13 20:20:00",223,60.7,"$0.00","$0.00",237,"$0.25","$50.00",5
"NFL","Showdown Captain Mode",5254933001,"NFL Showdown SUPERSat to $20 NFL Fantasy Football Millionaire [2x] (DAL @ NYG) (5/5)",195642262,"2026-09-13 20:20:00",116,83.75,"$0.00","$0.00",190,"$0.25","$40.00",2
"NFL","Showdown Captain Mode",5254918033,"NFL Showdown SUPERSat to $20 NFL Fantasy Football Millionaire [2x] (DAL @ NYG) (1/5)",195642262,"2026-09-13 20:20:00",119,82.3,"$0.00","$0.00",190,"$0.25","$40.00",2
"NFL","Showdown Captain Mode",5254933000,"NFL Showdown SUPERSat to $20 NFL Fantasy Football Millionaire [2x] (DAL @ NYG) (4/5)",195642262,"2026-09-13 20:20:00",170,68.05,"$0.00","$0.00",190,"$0.25","$40.00",2
"NFL","Showdown Captain Mode",5254932999,"NFL Showdown SUPERSat to $20 NFL Fantasy Football Millionaire [2x] (DAL @ NYG) (3/5)",195642262,"2026-09-13 20:20:00",174,67.4,"$0.00","$0.00",190,"$0.25","$40.00",2
"NFL","Showdown Captain Mode",5254932998,"NFL Showdown SUPERSat to $20 NFL Fantasy Football Millionaire [2x] (DAL @ NYG) (2/5)",195642262,"2026-09-13 20:20:00",177,67.05,"$0.00","$0.00",190,"$0.25","$40.00",2
"NFL","Showdown Captain Mode",5254932025,"NFL Showdown $0.25 Winner Take All [$100 to 1st] (DAL @ NYG)",195520918,"2026-09-13 20:20:00",462,59.6,"$0.00","$0.00",475,"$0.25","$100.00",1
"NFL","Showdown Captain Mode",5254932805,"NFL Showdown Satellite to NBA 10-20 $20 Opening Tip Off (DAL @ NYG) (5/7)",195521582,"2026-09-13 20:20:00",52,98.1,"$0.00","$0.00",237,"$0.10","$20.00",1
"NFL","Showdown Captain Mode",5254932803,"NFL Showdown Satellite to NBA 10-20 $20 Opening Tip Off (DAL @ NYG) (3/7)",195521582,"2026-09-13 20:20:00",103,89.7,"$0.00","$0.00",237,"$0.10","$20.00",1
"NFL","Showdown Captain Mode",5254932806,"NFL Showdown Satellite to NBA 10-20 $20 Opening Tip Off (DAL @ NYG) (6/7)",195521582,"2026-09-13 20:20:00",111,88.6,"$0.00","$0.00",237,"$0.10","$20.00",1
"NFL","Showdown Captain Mode",5254932804,"NFL Showdown Satellite to NBA 10-20 $20 Opening Tip Off (DAL @ NYG) (4/7)",195521582,"2026-09-13 20:20:00",150,80.3,"$0.00","$0.00",237,"$0.10","$20.00",1
"NFL","Showdown Captain Mode",5254932802,"NFL Showdown Satellite to NBA 10-20 $20 Opening Tip Off (DAL @ NYG) (2/7)",195521582,"2026-09-13 20:20:00",163,78.2,"$0.00","$0.00",237,"$0.10","$20.00",1
"NFL","Showdown Captain Mode",5254932807,"NFL Showdown Satellite to NBA 10-20 $20 Opening Tip Off (DAL @ NYG) (7/7)",195521582,"2026-09-13 20:20:00",217,63.8,"$0.00","$0.00",237,"$0.10","$20.00",1
"NFL","Showdown Captain Mode",5254925893,"NFL Showdown Satellite to NBA 10-20 $20 Opening Tip Off (DAL @ NYG) (1/7)",195521582,"2026-09-13 20:20:00",228,55.6,"$0.00","$0.00",237,"$0.10","$20.00",1
"NFL","Showdown Captain Mode",5254916579,"NFL Showdown $5K Daily Dollar [Single Entry] (DAL @ NYG)",195526163,"2026-09-13 20:20:00",5205,67.6,"$0.00","$0.00",5945,"$1.00","$5,000.00",1543
"NFL","Showdown Captain Mode",5254911488,"NFL Showdown $50K First Down [20 Entry Max] (DAL @ NYG)",195526142,"2026-09-13 20:20:00",42251,75.2,"$0.00","$0.00",59453,"$1.00","$50,000.00",15950
"NFL","Showdown Captain Mode",5254924777,"NFL Showdown $7.5K Quarter Jukebox [Just $0.25!] (DAL @ NYG) (2/2)",195526144,"2026-09-13 20:20:00",5220,99.8,"$0.50","$0.00",35671,"$0.25","$7,500.00",8550
"NFL","Showdown Captain Mode",5254911312,"NFL Showdown $7.5K Quarter Jukebox [Just $0.25!] (DAL @ NYG) (1/2)",195526144,"2026-09-13 20:20:00",17366,86.7,"$0.00","$0.00",35671,"$0.25","$7,500.00",8550
"NFL","Showdown Captain Mode",5254915887,"NFL Showdown $3K Dime Package [Just $0.10!] (DAL @ NYG) (1/2)",195526145,"2026-09-13 20:20:00",31493,65.6,"$0.00","$0.00",35671,"$0.10","$3,000.00",8545
"NFL","Showdown Captain Mode",5254915966,"NFL Showdown $3K Dime Package [Just $0.10!] (DAL @ NYG) (2/2)",195526145,"2026-09-13 20:20:00",24851,75.1,"$0.00","$0.00",35671,"$0.10","$3,000.00",8545
"NFL","Classic",5248979923,"NFL $3.5M Fantasy Football Millionaire [$1M to 1st] (6/20)",193028206,"2026-09-13 13:00:00",808493,88.34,"$0.00","$0.00",832342,"$5.00","$3,500,000.00",173275
"NFL","Classic",5248997742,"NFL $3.5M Fantasy Football Millionaire [$1M to 1st] (19/20)",193028206,"2026-09-13 13:00:00",708318,111.84,"$0.00","$0.00",832342,"$5.00","$3,500,000.00",173275
"NFL","Classic",5248979968,"NFL $3.5M Fantasy Football Millionaire [$1M to 1st] (8/20)",193028206,"2026-09-13 13:00:00",635877,120.94,"$0.00","$0.00",832342,"$5.00","$3,500,000.00",173275
"NFL","Classic",5232819732,"NFL $3.5M Fantasy Football Millionaire [$1M to 1st] (2/20)",193028206,"2026-09-13 13:00:00",610443,123.66,"$0.00","$0.00",832342,"$5.00","$3,500,000.00",173275
"NFL","Classic",5248989812,"NFL $3.5M Fantasy Football Millionaire [$1M to 1st] (10/20)",193028206,"2026-09-13 13:00:00",609282,123.8,"$0.00","$0.00",832342,"$5.00","$3,500,000.00",173275
"NFL","Classic",5249919601,"NFL $3.5M Fantasy Football Millionaire [$1M to 1st] (20/20)",193028206,"2026-09-13 13:00:00",595663,125.22,"$0.00","$0.00",832342,"$5.00","$3,500,000.00",173275
"NFL","Classic",5248997402,"NFL $3.5M Fantasy Football Millionaire [$1M to 1st] (17/20)",193028206,"2026-09-13 13:00:00",495407,134.64,"$0.00","$0.00",832342,"$5.00","$3,500,000.00",173275
"NFL","Classic",5248979773,"NFL $3.5M Fantasy Football Millionaire [$1M to 1st] (5/20)",193028206,"2026-09-13 13:00:00",459313,137.84,"$0.00","$0.00",832342,"$5.00","$3,500,000.00",173275
"NFL","Classic",5248979468,"NFL $3.5M Fantasy Football Millionaire [$1M to 1st] (3/20)",193028206,"2026-09-13 13:00:00",411622,142.06,"$0.00","$0.00",832342,"$5.00","$3,500,000.00",173275
"NFL","Classic",5248997710,"NFL $3.5M Fantasy Football Millionaire [$1M to 1st] (18/20)",193028206,"2026-09-13 13:00:00",346930,147.76,"$0.00","$0.00",832342,"$5.00","$3,500,000.00",173275
"NFL","Classic",5248979569,"NFL $3.5M Fantasy Football Millionaire [$1M to 1st] (4/20)",193028206,"2026-09-13 13:00:00",294103,152.7,"$0.00","$0.00",832342,"$5.00","$3,500,000.00",173275
"NFL","Classic",5248990299,"NFL $3.5M Fantasy Football Millionaire [$1M to 1st] (14/20)",193028206,"2026-09-13 13:00:00",244709,157.5,"$0.00","$0.00",832342,"$5.00","$3,500,000.00",173275
"NFL","Classic",5248990272,"NFL $3.5M Fantasy Football Millionaire [$1M to 1st] (13/20)",193028206,"2026-09-13 13:00:00",229585,159.06,"$0.00","$0.00",832342,"$5.00","$3,500,000.00",173275
"NFL","Classic",5248979949,"NFL $3.5M Fantasy Football Millionaire [$1M to 1st] (7/20)",193028206,"2026-09-13 13:00:00",220836,160,"$0.00","$0.00",832342,"$5.00","$3,500,000.00",173275
"NFL","Classic",5248989803,"NFL $3.5M Fantasy Football Millionaire [$1M to 1st] (9/20)",193028206,"2026-09-13 13:00:00",200082,162.3,"$0.00","$0.00",832342,"$5.00","$3,500,000.00",173275
"NFL","Classic",5248997244,"NFL $3.5M Fantasy Football Millionaire [$1M to 1st] (16/20)",193028206,"2026-09-13 13:00:00",184935,164.04,"$0.00","$0.00",832342,"$5.00","$3,500,000.00",173275
"NFL","Classic",5248989981,"NFL $3.5M Fantasy Football Millionaire [$1M to 1st] (12/20)",193028206,"2026-09-13 13:00:00",115898,173.44,"$8.00","$0.00",832342,"$5.00","$3,500,000.00",173275
"NFL","Classic",5210040219,"NFL $3.5M Fantasy Football Millionaire [$1M to 1st] (1/20)",193028206,"2026-09-13 13:00:00",72957,181.26,"$8.00","$0.00",832342,"$5.00","$3,500,000.00",173275
"NFL","Classic",5248989915,"NFL $3.5M Fantasy Football Millionaire [$1M to 1st] (11/20)",193028206,"2026-09-13 13:00:00",49349,187.24,"$10.00","$0.00",832342,"$5.00","$3,500,000.00",173275
"NFL","Classic",5248990384,"NFL $3.5M Fantasy Football Millionaire [$1M to 1st] (15/20)",193028206,"2026-09-13 13:00:00",23887,196.96,"$10.00","$0.00",832342,"$5.00","$3,500,000.00",173275
"MLB","Classic",5251969520,"MLB Satellite to NFL 9-13 $5 Fantasy Football Millionaire (Night)",195543468,"2026-09-12 19:10:00",21,68.35,"$0.00","$0.00",23,"$0.25","$5.00",1
"MLB","Classic",5251975130,"MLB Satellite to NFL 9-13 $5 Fantasy Football Millionaire (Night)",195543476,"2026-09-12 19:10:00",6,158.65,"$0.00","$0.00",59,"$0.10","$5.00",1
"MLB","Classic",5251984454,"MLB Satellite to NFL 9-13 $5 Fantasy Football Millionaire (Night)",195543478,"2026-09-12 19:10:00",47,82.3,"$0.00","$0.00",59,"$0.10","$5.00",1
"MLB","Classic",5251969639,"MLB SUPERSatellite to NFL 9-13 $5 Fantasy Football Millionaire [2x] (Night) (1/3)",195543488,"2026-09-12 19:10:00",64,99.8,"$0.00","$0.00",118,"$0.10","$10.00",2
"MLB","Classic",5251984589,"MLB SUPERSatellite to NFL 9-13 $5 Fantasy Football Millionaire [2x] (Night) (3/3)",195543488,"2026-09-12 19:10:00",80,87,"$0.00","$0.00",118,"$0.10","$10.00",2
"MLB","Classic",5251984518,"MLB SUPERSatellite to NFL 9-13 $5 Fantasy Football Millionaire [2x] (Night) (2/3)",195543488,"2026-09-12 19:10:00",109,56.65,"$0.00","$0.00",118,"$0.10","$10.00",2
"MLB","Classic",5251975021,"MLB SUPERSatellite to NFL 9-13 $5 Fantasy Football Millionaire [2x] (Night)",195543489,"2026-09-12 19:10:00",39,69.85,"$0.00","$0.00",47,"$0.25","$10.00",2
"MLB","Classic",5251491315,"MLB SUPERSatellite to NFL 9-13 $5 Fantasy Football Millionaire [2x]",195543272,"2026-09-12 13:10:00",16,87.15,"$0.00","$0.00",33,"$0.25","$10.00",2
"MLB","Classic",5251500411,"MLB SUPERSatellite to NFL 9-13 $5 Fantasy Football Millionaire [2x] (1/3)",195543265,"2026-09-12 13:10:00",46,88.35,"$0.00","$0.00",88,"$0.10","$10.00",2
"MLB","Classic",5251510354,"MLB SUPERSatellite to NFL 9-13 $5 Fantasy Football Millionaire [2x] (2/3)",195543265,"2026-09-12 13:10:00",47,88.1,"$0.00","$0.00",88,"$0.10","$10.00",2
"MLB","Classic",5251510553,"MLB SUPERSatellite to NFL 9-13 $5 Fantasy Football Millionaire [2x] (3/3)",195543265,"2026-09-12 13:10:00",85,52.5,"$0.00","$0.00",88,"$0.10","$10.00",2
"MLB","Classic",5250551076,"MLB Satellite to NFL 9-13 $5 Fantasy Football Millionaire (Turbo)",195514645,"2026-09-11 18:40:00",21,74.95,"$0.00","$0.00",23,"$0.25","$5.00",1
"MLB","Classic",5250563254,"MLB Satellite to NFL 9-13 $5 Fantasy Football Millionaire (Turbo)",195514646,"2026-09-11 18:40:00",8,96,"$0.00","$0.00",23,"$0.25","$5.00",1
"MLB","Classic",5250551048,"MLB Satellite to NFL 9-13 $5 Fantasy Football Millionaire (Turbo)",195514647,"2026-09-11 18:40:00",13,96,"$0.00","$0.00",23,"$0.25","$5.00",1
"MLB","Classic",5250563451,"MLB Satellite to NFL 9-13 $5 Fantasy Football Millionaire (Turbo)",195514648,"2026-09-11 18:40:00",8,113,"$0.00","$0.00",50,"$0.10","$5.00",1
"NFL","Showdown Captain Mode",5249166800,"NFL Showdown 40x Micro Booster [Top 5 Win $10] (SF vs LAR)",195507184,"2026-09-10 20:35:00",137,57.5,"$0.00","$0.00",237,"$0.25","$50.00",5
"NFL","Showdown Captain Mode",5249175809,"NFL Showdown Satellite to NHL 9-29 $15 Opening Night Puck Drop (SF vs LAR) (2/2)",195384501,"2026-09-10 20:35:00",55,49.2,"$0.00","$0.00",71,"$0.25","$15.00",1
"NFL","Showdown Captain Mode",5249168004,"NFL Showdown Satellite to NHL 9-29 $15 Opening Night Puck Drop (SF vs LAR) (1/2)",195384501,"2026-09-10 20:35:00",57,47.45,"$0.00","$0.00",71,"$0.25","$15.00",1
"NFL","Showdown Captain Mode",5249214148,"NFL Showdown $0.25 Contest (SF vs LAR) (1/2)",195379585,"2026-09-10 20:35:00",145,57.6,"$0.00","$0.00",237,"$0.25","$50.00",55
"NFL","Showdown Captain Mode",5249214194,"NFL Showdown $0.25 Contest (SF vs LAR) (2/2)",195379585,"2026-09-10 20:35:00",173,54.6,"$0.00","$0.00",237,"$0.25","$50.00",55
"NFL","Showdown Captain Mode",5249167150,"NFL Showdown $8K Daily Dollar [Single Entry] (SF vs LAR)",195390889,"2026-09-10 20:35:00",604,78.8,"$2.00","$0.00",9512,"$1.00","$8,000.00",2247
"NFL","Showdown Captain Mode",5249160789,"NFL Showdown $70K First Down [20 Entry Max] (SF vs LAR)",195390867,"2026-09-10 20:35:00",75462,43.6,"$0.00","$0.00",83234,"$1.00","$70,000.00",22471
"NFL","Showdown Captain Mode",5249175224,"NFL Showdown $75K mini-MAX [150 Entry Max] (SF vs LAR)",195390868,"2026-09-10 20:35:00",138669,51.1,"$0.00","$0.00",178359,"$0.50","$75,000.00",37455
"NFL","Showdown Captain Mode",5249160136,"NFL Showdown $4K Dime Package [Just $0.10!] (SF vs LAR) (1/2)",195390870,"2026-09-10 20:35:00",28503,57.1,"$0.00","$0.00",47562,"$0.10","$4,000.00",11405
"NFL","Showdown Captain Mode",5249174775,"NFL Showdown $4K Dime Package [Just $0.10!] (SF vs LAR) (2/2)",195390870,"2026-09-10 20:35:00",4845,77.05,"$0.20","$0.00",47562,"$0.10","$4,000.00",11405
"NFL","Showdown Captain Mode",5249168155,"NFL Showdown SUPERSatellite to NFL 9-13 $5 Fantasy Football Millionaire [2x] (SF vs LAR)",195379668,"2026-09-10 20:35:00",15,67.85,"$0.00","$0.00",47,"$0.25","$10.00",2
"MLB","Showdown Captain Mode",5249551335,"MLB Showdown Satellite to NFL 9-13 $5 Fantasy Football Millionaire (PIT @ CWS)",195474252,"2026-09-10 19:40:00",16,15.5,"$0.00","$0.00",18,"$0.25","$5.00",1
"MLB","Showdown Captain Mode",5249543325,"MLB Showdown Satellite to NFL 9-13 $5 Fantasy Football Millionaire (PIT @ CWS)",195474253,"2026-09-10 19:40:00",17,12,"$0.00","$0.00",18,"$0.25","$5.00",1
"MLB","Showdown Captain Mode",5249543371,"MLB Showdown Satellite to NFL 9-13 $5 Fantasy Football Millionaire (PIT @ CWS)",195474254,"2026-09-10 19:40:00",14,22,"$0.00","$0.00",17,"$0.25","$5.00",1
"MLB","Showdown Captain Mode",5249534938,"MLB Showdown Satellite to NFL 9-13 $5 Fantasy Football Millionaire (PIT @ CWS)",195474255,"2026-09-10 19:40:00",5,82.93,"$0.00","$0.00",32,"$0.10","$5.00",1
"MLB","Classic",5249513127,"MLB Satellite to NFL 9-13 $5 Fantasy Football Millionaire (Night)",195474231,"2026-09-10 19:05:00",1,137.65,"$0.00","$5.00",59,"$0.10","$5.00",1
"MLB","Classic",5249502946,"MLB Satellite to NFL 9-13 $5 Fantasy Football Millionaire (Night)",195510603,"2026-09-10 19:05:00",22,72.7,"$0.00","$0.00",23,"$0.25","$5.00",1
"MLB","Classic",5249046990,"MLB SUPERSatellite to NFL 9-13 $5 Fantasy Football Millionaire [2x] (3/3)",195473857,"2026-09-10 12:15:00",9,102.05,"$0.00","$0.00",118,"$0.10","$10.00",2
"MLB","Classic",5249046969,"MLB SUPERSatellite to NFL 9-13 $5 Fantasy Football Millionaire [2x] (2/3)",195473857,"2026-09-10 12:15:00",33,89.05,"$0.00","$0.00",118,"$0.10","$10.00",2
"MLB","Classic",5249039089,"MLB SUPERSatellite to NFL 9-13 $5 Fantasy Football Millionaire [2x] (1/3)",195473857,"2026-09-10 12:15:00",46,85.7,"$0.00","$0.00",118,"$0.10","$10.00",2
"MLB","Classic",5249039012,"MLB SUPERSatellite to NFL 9-13 $5 Fantasy Football Millionaire [2x]",195473858,"2026-09-10 12:15:00",34,76.7,"$0.00","$0.00",47,"$0.25","$10.00",2
"MLB","Showdown Captain Mode",5248537750,"MLB Showdown Satellite to NFL 9-13 $5 Fantasy Football Millionaire (CIN @ LAD)",195370526,"2026-09-09 22:10:00",3,126.35,"$0.00","$0.00",23,"$0.25","$5.00",1
"MLB","Showdown Captain Mode",5248537756,"MLB Showdown Satellite to NFL 9-13 $5 Fantasy Football Millionaire (CIN @ LAD)",195370527,"2026-09-09 22:10:00",18,80.35,"$0.00","$0.00",23,"$0.25","$5.00",1
"MLB","Showdown Captain Mode",5248530660,"MLB Showdown Satellite to NFL 9-13 $5 Fantasy Football Millionaire (CIN @ LAD)",195370529,"2026-09-09 22:10:00",7,112.03,"$0.00","$0.00",43,"$0.10","$5.00",1
"MLB","Classic",5248189739,"MLB SUPERSatellite to NFL 9-13 $5 Fantasy Football Millionaire [2x]",195370015,"2026-09-09 18:35:00",36,87.85,"$0.00","$0.00",47,"$0.25","$10.00",2
"NFL","Showdown Captain Mode",5248486750,"NFL Showdown $8K Daily Dollar [Single Entry] (NE @ SEA)",193391038,"2026-09-09 20:20:00",9413,28.22,"$0.00","$0.00",9512,"$1.00","$8,000.00",2247
"NFL","Showdown Captain Mode",5232816721,"NFL Showdown $2.25M Wednesday Kickoff Millionaire [$1M to 1st, TD Throne Eligible] (NE @ SEA) (1/2)",193391013,"2026-09-09 20:20:00",17298,78.84,"$30.00","$0.00",126020,"$20.00","$2,250,000.00",26495
"NFL","Showdown Captain Mode",5238395397,"NFL Showdown $2.25M Wednesday Kickoff Millionaire [$1M to 1st, TD Throne Eligible] (NE @ SEA) (2/2)",193391013,"2026-09-09 20:20:00",17328,78.83,"$30.00","$0.00",126020,"$20.00","$2,250,000.00",26495
"NFL","Showdown Captain Mode",5248494303,"NFL Showdown $15K Quarter Jukebox [Just $0.25!]  (NE @ SEA) (2/2)",193391019,"2026-09-09 20:20:00",39135,62.64,"$0.00","$0.00",65987,"$0.25","$15,000.00",17120
"NFL","Showdown Captain Mode",5248494158,"NFL Showdown $15K Quarter Jukebox [Just $0.25!]  (NE @ SEA) (1/2)",193391019,"2026-09-09 20:20:00",52800,51.45,"$0.00","$0.00",65987,"$0.25","$15,000.00",17120
"MLB","Showdown Captain Mode",5248220544,"MLB Showdown Satellite to NFL 9-13 $5 Fantasy Football Millionaire (HOU @ PHI)",195370493,"2026-09-09 18:40:00",5,62.3,"$0.00","$0.00",11,"$0.25","$5.00",1
"MLB","Showdown Captain Mode",5248233331,"MLB Showdown Satellite to NFL 9-13 $5 Fantasy Football Millionaire (HOU @ PHI)",195370494,"2026-09-09 18:40:00",12,46.05,"$0.00","$0.00",12,"$0.25","$5.00",1
"MLB","Showdown Captain Mode",5248225723,"MLB Showdown Satellite to NFL 9-13 $5 Fantasy Football Millionaire (HOU @ PHI)",195370496,"2026-09-09 18:40:00",5,62.33,"$0.00","$0.00",12,"$0.25","$5.00",1
"MLB","Showdown Captain Mode",5248233085,"MLB Showdown Satellite to NFL 9-13 $5 Fantasy Football Millionaire (HOU @ PHI)",195370498,"2026-09-09 18:40:00",3,82,"$0.00","$0.00",22,"$0.10","$5.00",1
"MLB","Classic",5247728289,"MLB SUPERSatellite to NFL 9-13 $5 Fantasy Football Millionaire [2x] (Early) (1/3)",195370109,"2026-09-09 15:05:00",4,113.25,"$0.00","$0.00",118,"$0.10","$10.00",2
"MLB","Classic",5247728301,"MLB SUPERSatellite to NFL 9-13 $5 Fantasy Football Millionaire [2x] (Early) (2/3)",195370109,"2026-09-09 15:05:00",7,107.65,"$0.00","$0.00",118,"$0.10","$10.00",2
"MLB","Classic",5247728326,"MLB SUPERSatellite to NFL 9-13 $5 Fantasy Football Millionaire [2x] (Early) (3/3)",195370109,"2026-09-09 15:05:00",9,98.85,"$0.00","$0.00",118,"$0.10","$10.00",2
"MLB","Classic",5247728174,"MLB SUPERSatellite to NFL 9-13 $5 Fantasy Football Millionaire [2x] (Early)",195370110,"2026-09-09 15:05:00",28,55.85,"$0.00","$0.00",47,"$0.25","$10.00",2
"MLB","Classic",5246651462,"MLB SUPERSatellite to NFL 9-13 $5 Fantasy Football Millionaire [2x] (Night) (3/3)",195251523,"2026-09-08 21:40:00",46,89.8,"$0.00","$0.00",118,"$0.10","$10.00",2
"MLB","Classic",5246651441,"MLB SUPERSatellite to NFL 9-13 $5 Fantasy Football Millionaire [2x] (Night) (2/3)",195251523,"2026-09-08 21:40:00",66,83.05,"$0.00","$0.00",118,"$0.10","$10.00",2
"MLB","Classic",5246642014,"MLB SUPERSatellite to NFL 9-13 $5 Fantasy Football Millionaire [2x] (Night) (1/3)",195251523,"2026-09-08 21:40:00",109,59.4,"$0.00","$0.00",118,"$0.10","$10.00",2
