Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5177626202,MLB Satellite to $15 Relay Throw,191756135,$0.10,43433708,43433712,43433872,43433847,43433891,43433851,43433769,43433734,43433884,43434109,,1. Column A lists all of your contest entries for this draftgroup
5177627200,MLB Satellite to $15 Relay Throw,191756135,$0.10,43433711,43433712,43434065,43433742,43433891,43433860,43433755,43434109,43433833,43433836,,2. Your current lineup is listed next to each entry (blank for reservations)
5177627201,MLB Satellite to $15 Relay Throw,191756135,$0.10,43433711,43433709,43434065,43433790,43433779,43433851,43433755,43433997,43433852,43433884,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5177627202,MLB Satellite to $15 Relay Throw,191756135,$0.10,43433708,43433711,43433872,43433847,43433779,43433860,43433755,43433852,43433813,43434109,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5177627203,MLB Satellite to $15 Relay Throw,191756135,$0.10,43433708,43433712,43434065,43433847,43433936,43433759,43433755,43433905,43433884,43433833,,5. For faster processing only include entries you are changing in the file you upload
5177619691,MLB Satellite to NFL Best Ball $25 Millionaire,191756143,$0.10,43433708,43433712,43433872,43433847,43433891,43433851,43433769,43433734,43433884,43434109,,
5177619692,MLB Satellite to NFL Best Ball $25 Millionaire,191756143,$0.10,43433708,43433709,43433858,43433847,43433779,43433860,43433870,43433833,43433836,43433824,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5177627622,MLB SUPERSatellite to $2 MLB Pocket Cup MEGA Qualifier [10x],191756164,$0.01,43433708,43433711,43433872,43433790,43433936,43433860,43433870,43433905,43433833,43433734,,SP,Logan Gilbert (43434252),Logan Gilbert,43434252,P,9700,SEA@CLE 06/28/2026 01:40PM ET,SEA,19.02
5177627623,MLB SUPERSatellite to $2 MLB Pocket Cup MEGA Qualifier [10x],191756164,$0.01,43433712,43433709,43433872,43433802,43433779,43433860,43433769,43434109,43433797,43433833,,SP,Paul Skenes (43434251),Paul Skenes,43434251,P,9700,CIN@PIT 06/28/2026 01:35PM ET,PIT,19.56
5177627624,MLB SUPERSatellite to $2 MLB Pocket Cup MEGA Qualifier [10x],191756164,$0.01,43433711,43433708,43434065,43433790,43433816,43433903,43433755,43433905,43434109,43433824,,SP,Jesus Luzardo (43433711),Jesus Luzardo,43433711,P,9600,PHI@NYM 06/28/2026 01:40PM ET,PHI,17.76
5177627625,MLB SUPERSatellite to $2 MLB Pocket Cup MEGA Qualifier [10x],191756164,$0.01,43433708,43433712,43433872,43433847,43433891,43433851,43433769,43433734,43433884,43434109,,SP,Tarik Skubal (43434254),Tarik Skubal,43434254,P,9500,HOU@DET 06/28/2026 01:40PM ET,DET,19.76
5177627626,MLB SUPERSatellite to $2 MLB Pocket Cup MEGA Qualifier [10x],191756164,$0.01,43433708,43433712,43433858,43433802,43433779,43433851,43433755,43433905,43433836,43434109,,SP,Nolan McLean (43434253),Nolan McLean,43434253,P,9500,PHI@NYM 06/28/2026 01:40PM ET,NYM,17.65
5177627627,MLB SUPERSatellite to $2 MLB Pocket Cup MEGA Qualifier [10x],191756164,$0.01,43433709,43433712,43433872,43433742,43433936,43433860,43433755,43433931,43433781,43433884,,SP,Gavin Williams (43433712),Gavin Williams,43433712,P,9400,SEA@CLE 06/28/2026 01:40PM ET,CLE,20.43
5177627628,MLB SUPERSatellite to $2 MLB Pocket Cup MEGA Qualifier [10x],191756164,$0.01,43433711,43433712,43433872,43433742,43433779,43433851,43433870,43433813,43433884,43433833,,SP,Joe Ryan (43434255),Joe Ryan,43434255,P,9400,COL@MIN 06/28/2026 02:10PM ET,MIN,18.79
5177627629,MLB SUPERSatellite to $2 MLB Pocket Cup MEGA Qualifier [10x],191756164,$0.01,43433708,43433712,43434065,43433847,43433936,43433759,43433755,43433905,43433884,43433833,,SP,Peter Lambert (43434256),Peter Lambert,43434256,P,9200,HOU@DET 06/28/2026 01:40PM ET,HOU,17.12
5177627630,MLB SUPERSatellite to $2 MLB Pocket Cup MEGA Qualifier [10x],191756164,$0.01,43433711,43433712,43433858,43433790,43433779,43433903,43433904,43433734,43434109,43433833,,SP,Shane McClanahan (43434257),Shane McClanahan,43434257,P,9200,ARI@TB 06/28/2026 01:40PM ET,TB,15.10
5177627631,MLB SUPERSatellite to $2 MLB Pocket Cup MEGA Qualifier [10x],191756164,$0.01,43433712,43433711,43434065,43433790,43433879,43433851,43433769,43433905,43433781,43433836,,SP,Corbin Burnes (43434258),Corbin Burnes,43434258,P,9200,ARI@TB 06/28/2026 01:40PM ET,ARI,0
5177627632,MLB SUPERSatellite to $2 MLB Pocket Cup MEGA Qualifier [10x],191756164,$0.01,43433711,43433709,43434065,43433790,43433779,43433851,43433755,43433997,43433852,43433884,,SP,George Kirby (43433713),George Kirby,43433713,P,9200,SEA@CLE 06/28/2026 01:40PM ET,SEA,15.53
5177627633,MLB SUPERSatellite to $2 MLB Pocket Cup MEGA Qualifier [10x],191756164,$0.01,43433708,43433712,43433872,43433790,43433891,43433984,43433755,43433852,43433781,43433833,,RP,Clay Holmes (43434259),Clay Holmes,43434259,P,9200,PHI@NYM 06/28/2026 01:40PM ET,NYM,17.9
5177627634,MLB SUPERSatellite to $2 MLB Pocket Cup MEGA Qualifier [10x],191756164,$0.01,43433711,43433708,43434065,43433742,43433936,43433860,43433904,43433813,43433884,43433824,,SP,Michael Soroka (43434260),Michael Soroka,43434260,P,9000,ARI@TB 06/28/2026 01:40PM ET,ARI,17.47
5177627635,MLB SUPERSatellite to $2 MLB Pocket Cup MEGA Qualifier [10x],191756164,$0.01,43433708,43433711,43433872,43433847,43433779,43433860,43433755,43433852,43433813,43434109,,SP,Max Meyer (43434261),Max Meyer,43434261,P,9000,MIA@STL 06/28/2026 02:15PM ET,MIA,20.19
5177627636,MLB SUPERSatellite to $2 MLB Pocket Cup MEGA Qualifier [10x],191756164,$0.01,43433708,43433709,43433858,43433847,43433779,43433860,43433870,43433833,43433836,43433824,,SP,Bryce Miller (43434262),Bryce Miller,43434262,P,8900,SEA@CLE 06/28/2026 01:40PM ET,SEA,22.87
5177627637,MLB SUPERSatellite to $2 MLB Pocket Cup MEGA Qualifier [10x],191756164,$0.01,43433711,43433712,43434065,43433742,43433891,43433860,43433755,43434109,43433833,43433836,,SP,Jacob deGrom (43434263),Jacob deGrom,43434263,P,8800,TEX@TOR 06/28/2026 01:37PM ET,TEX,19.43
5177627638,MLB SUPERSatellite to $2 MLB Pocket Cup MEGA Qualifier [10x],191756164,$0.01,43433708,43433712,43434065,43433790,43433779,43433860,43433870,43433884,43434109,43433781,,SP,Brandon Woodruff (43433714),Brandon Woodruff,43433714,P,8800,CHC@MIL 06/28/2026 02:10PM ET,MIL,16.46
5177627639,MLB SUPERSatellite to $2 MLB Pocket Cup MEGA Qualifier [10x],191756164,$0.01,43433711,43433712,43433872,43433790,43433879,43433759,43433755,43434109,43433797,43433884,,SP,Kevin Gausman (43434264),Kevin Gausman,43434264,P,8700,TEX@TOR 06/28/2026 01:37PM ET,TOR,14.87
5177627640,MLB SUPERSatellite to $2 MLB Pocket Cup MEGA Qualifier [10x],191756164,$0.01,43433708,43433711,43434065,43433742,43433879,43433851,43433870,43433852,43434109,43433797,,SP,Trey Yesavage (43434266),Trey Yesavage,43434266,P,8700,TEX@TOR 06/28/2026 01:37PM ET,TOR,15.76
5177619065,MLB $1K Daily Dollar [Single Entry],191758702,$1,43433708,43433711,43433872,43433847,43433779,43433860,43433755,43433852,43433813,43434109,,SP,Bryan Woo (43434265),Bryan Woo,43434265,P,8700,SEA@CLE 06/28/2026 01:40PM ET,SEA,16.83
,,,,,,,,,,,,,,,RP,Ben Brown (43434267),Ben Brown,43434267,P,8700,CHC@MIL 06/28/2026 02:10PM ET,CHC,11.57
,,,,,,,,,,,,,,,SP,Nathan Eovaldi (43434268),Nathan Eovaldi,43434268,P,8600,TEX@TOR 06/28/2026 01:37PM ET,TEX,18.66
,,,,,,,,,,,,,,,SP,Pablo Lopez (43434272),Pablo Lopez,43434272,P,8600,COL@MIN 06/28/2026 02:10PM ET,MIN,0
,,,,,,,,,,,,,,,SP,Shota Imanaga (43434269),Shota Imanaga,43434269,P,8600,CHC@MIL 06/28/2026 02:10PM ET,CHC,15.69
,,,,,,,,,,,,,,,SP,Chad Patrick (43434271),Chad Patrick,43434271,P,8600,CHC@MIL 06/28/2026 02:10PM ET,MIL,6.98
,,,,,,,,,,,,,,,SP,Tylor Megill (43434270),Tylor Megill,43434270,P,8600,PHI@NYM 06/28/2026 01:40PM ET,NYM,0
,,,,,,,,,,,,,,,SP,Shane Bieber (43433715),Shane Bieber,43433715,P,8500,TEX@TOR 06/28/2026 01:37PM ET,TOR,-1.15
,,,,,,,,,,,,,,,SP,Justin Steele (43434273),Justin Steele,43434273,P,8500,CHC@MIL 06/28/2026 02:10PM ET,CHC,0
,,,,,,,,,,,,,,,SP,Foster Griffin (43434275),Foster Griffin,43434275,P,8400,WSH@BAL 06/28/2026 01:35PM ET,WSH,18.82
,,,,,,,,,,,,,,,SP,Ronel Blanco (43434277),Ronel Blanco,43434277,P,8400,HOU@DET 06/28/2026 01:40PM ET,HOU,0
,,,,,,,,,,,,,,,SP,Cole Ragans (43434274),Cole Ragans,43434274,P,8400,KC@CWS 06/28/2026 02:10PM ET,KC,13.19
,,,,,,,,,,,,,,,SP,Sandy Alcantara (43434278),Sandy Alcantara,43434278,P,8400,MIA@STL 06/28/2026 02:15PM ET,MIA,15.34
,,,,,,,,,,,,,,,SP,Freddy Peralta (43434276),Freddy Peralta,43434276,P,8400,PHI@NYM 06/28/2026 01:40PM ET,NYM,13.92
,,,,,,,,,,,,,,,RP,Joe Boyle (43434282),Joe Boyle,43434282,P,8300,ARI@TB 06/28/2026 01:40PM ET,TB,13.02
,,,,,,,,,,,,,,,SP,Kris Bubic (43434280),Kris Bubic,43434280,P,8300,KC@CWS 06/28/2026 02:10PM ET,KC,15.94
,,,,,,,,,,,,,,,SP,Davis Martin (43434281),Davis Martin,43434281,P,8300,KC@CWS 06/28/2026 02:10PM ET,CWS,18.43
,,,,,,,,,,,,,,,SP,Hunter Greene (43434279),Hunter Greene,43434279,P,8300,CIN@PIT 06/28/2026 01:35PM ET,CIN,0
,,,,,,,,,,,,,,,SP,Spencer Arrighetti (43434284),Spencer Arrighetti,43434284,P,8200,HOU@DET 06/28/2026 01:40PM ET,HOU,16.43
,,,,,,,,,,,,,,,SP,Brandon Walter (43434286),Brandon Walter,43434286,P,8200,HOU@DET 06/28/2026 01:40PM ET,HOU,0
,,,,,,,,,,,,,,,RP,Nick Martinez (43434285),Nick Martinez,43434285,P,8200,ARI@TB 06/28/2026 01:40PM ET,TB,14.65
,,,,,,,,,,,,,,,SP,Ryan Pepiot (43434287),Ryan Pepiot,43434287,P,8200,ARI@TB 06/28/2026 01:40PM ET,TB,0
,,,,,,,,,,,,,,,RP,Seth Lugo (43434283),Seth Lugo,43434283,P,8200,KC@CWS 06/28/2026 02:10PM ET,KC,12.14
,,,,,,,,,,,,,,,SP,Shane Baz (43434288),Shane Baz,43434288,P,8100,WSH@BAL 06/28/2026 01:35PM ET,BAL,13.89
,,,,,,,,,,,,,,,RP,Ian Seymour (43434289),Ian Seymour,43434289,P,8100,ARI@TB 06/28/2026 01:40PM ET,TB,4.95
,,,,,,,,,,,,,,,SP,Eduardo Rodriguez (43434291),Eduardo Rodriguez,43434291,P,8100,ARI@TB 06/28/2026 01:40PM ET,ARI,16.30
,,,,,,,,,,,,,,,SP,Tanner Bibee (43434290),Tanner Bibee,43434290,P,8100,SEA@CLE 06/28/2026 01:40PM ET,CLE,13.99
,,,,,,,,,,,,,,,RP,Braxton Ashcraft (43434292),Braxton Ashcraft,43434292,P,8000,CIN@PIT 06/28/2026 01:35PM ET,PIT,20.43
,,,,,,,,,,,,,,,SP,Dustin May (43434293),Dustin May,43434293,P,8000,MIA@STL 06/28/2026 02:15PM ET,STL,14.95
,,,,,,,,,,,,,,,RP,Andre Pallante (43434294),Andre Pallante,43434294,P,8000,MIA@STL 06/28/2026 02:15PM ET,STL,14.05
,,,,,,,,,,,,,,,SP,Christian Scott (43434295),Christian Scott,43434295,P,8000,PHI@NYM 06/28/2026 01:40PM ET,NYM,14.42
,,,,,,,,,,,,,,,RP,Daniel Espino (43434296),Daniel Espino,43434296,P,7900,SEA@CLE 06/28/2026 01:40PM ET,CLE,1.88
,,,,,,,,,,,,,,,RP,Joey Cantillo (43434297),Joey Cantillo,43434297,P,7900,SEA@CLE 06/28/2026 01:40PM ET,CLE,14.19
,,,,,,,,,,,,,,,RP,Jacob Latz (43434301),Jacob Latz,43434301,P,7800,TEX@TOR 06/28/2026 01:37PM ET,TEX,4.65
,,,,,,,,,,,,,,,SP,Emerson Hancock (43434302),Emerson Hancock,43434302,P,7800,SEA@CLE 06/28/2026 01:40PM ET,SEA,16.71
,,,,,,,,,,,,,,,SP,Michael Wacha (43434298),Michael Wacha,43434298,P,7800,KC@CWS 06/28/2026 02:10PM ET,KC,16.22
,,,,,,,,,,,,,,,SP,Noah Cameron (43434300),Noah Cameron,43434300,P,7800,KC@CWS 06/28/2026 02:10PM ET,KC,13.41
,,,,,,,,,,,,,,,SP,Taj Bradley (43434299),Taj Bradley,43434299,P,7800,COL@MIN 06/28/2026 02:10PM ET,MIN,16.99
,,,,,,,,,,,,,,,SP,Jose Berrios (43434307),Jose Berrios,43434307,P,7700,TEX@TOR 06/28/2026 01:37PM ET,TOR,0
,,,,,,,,,,,,,,,SP,MacKenzie Gore (43434308),MacKenzie Gore,43434308,P,7700,TEX@TOR 06/28/2026 01:37PM ET,TEX,15.72
,,,,,,,,,,,,,,,RP,Framber Valdez (43434303),Framber Valdez,43434303,P,7700,HOU@DET 06/28/2026 01:40PM ET,DET,12.84
,,,,,,,,,,,,,,,RP,Hayden Wesneski (43434304),Hayden Wesneski,43434304,P,7700,HOU@DET 06/28/2026 01:40PM ET,HOU,0
,,,,,,,,,,,,,,,RP,Jason Alexander (43434305),Jason Alexander,43434305,P,7700,HOU@DET 06/28/2026 01:40PM ET,HOU,4.31
,,,,,,,,,,,,,,,SP,Mike Burrows (43434306),Mike Burrows,43434306,P,7700,HOU@DET 06/28/2026 01:40PM ET,HOU,9.96
,,,,,,,,,,,,,,,RP,AJ Blubaugh (43434309),AJ Blubaugh,43434309,P,7700,HOU@DET 06/28/2026 01:40PM ET,HOU,4.66
,,,,,,,,,,,,,,,SP,Casey Mize (43434310),Casey Mize,43434310,P,7700,HOU@DET 06/28/2026 01:40PM ET,DET,16.24
,,,,,,,,,,,,,,,SP,Reese Olson (43434311),Reese Olson,43434311,P,7700,HOU@DET 06/28/2026 01:40PM ET,DET,0
,,,,,,,,,,,,,,,SP,Jack Leiter (43434314),Jack Leiter,43434314,P,7600,TEX@TOR 06/28/2026 01:37PM ET,TEX,12.71
,,,,,,,,,,,,,,,SP,Zebby Matthews (43434316),Zebby Matthews,43434316,P,7600,COL@MIN 06/28/2026 02:10PM ET,MIN,14.3
,,,,,,,,,,,,,,,SP,Bailey Ober (43434317),Bailey Ober,43434317,P,7600,COL@MIN 06/28/2026 02:10PM ET,MIN,12.77
,,,,,,,,,,,,,,,SP,Matthew Boyd (43434312),Matthew Boyd,43434312,P,7600,CHC@MIL 06/28/2026 02:10PM ET,CHC,14.52
,,,,,,,,,,,,,,,SP,Edward Cabrera (43434313),Edward Cabrera,43434313,P,7600,CHC@MIL 06/28/2026 02:10PM ET,CHC,12.11
,,,,,,,,,,,,,,,SP,Cade Horton (43434315),Cade Horton,43434315,P,7600,CHC@MIL 06/28/2026 02:10PM ET,CHC,10.45
,,,,,,,,,,,,,,,SP,Sean Manaea (43434318),Sean Manaea,43434318,P,7600,PHI@NYM 06/28/2026 01:40PM ET,NYM,8.2
,,,,,,,,,,,,,,,SP,Kodai Senga (43434319),Kodai Senga,43434319,P,7600,PHI@NYM 06/28/2026 01:40PM ET,NYM,5.04
,,,,,,,,,,,,,,,RP,Kyle Leahy (43433716),Kyle Leahy,43433716,P,7500,MIA@STL 06/28/2026 02:15PM ET,STL,11.49
,,,,,,,,,,,,,,,RP,Shane Drohan (43434321),Shane Drohan,43434321,P,7500,CHC@MIL 06/28/2026 02:10PM ET,MIL,9.88
,,,,,,,,,,,,,,,SP,Aaron Nola (43434320),Aaron Nola,43434320,P,7500,PHI@NYM 06/28/2026 01:40PM ET,PHI,11.67
,,,,,,,,,,,,,,,RP,Griffin Jax (43434324),Griffin Jax,43434324,P,7400,ARI@TB 06/28/2026 01:40PM ET,TB,7.10
,,,,,,,,,,,,,,,SP,Sean Burke (43434322),Sean Burke,43434322,P,7400,KC@CWS 06/28/2026 02:10PM ET,CWS,15.71
,,,,,,,,,,,,,,,RP,Stephen Kolek (43434323),Stephen Kolek,43434323,P,7400,KC@CWS 06/28/2026 02:10PM ET,KC,13.29
,,,,,,,,,,,,,,,SP,Jared Jones (43434325),Jared Jones,43434325,P,7400,CIN@PIT 06/28/2026 01:35PM ET,PIT,9.44
,,,,,,,,,,,,,,,SP,Cody Ponce (43434330),Cody Ponce,43434330,P,7300,TEX@TOR 06/28/2026 01:37PM ET,TOR,8.05
,,,,,,,,,,,,,,,SP,Jack Flaherty (43433717),Jack Flaherty,43433717,P,7300,HOU@DET 06/28/2026 01:40PM ET,DET,11.00
,,,,,,,,,,,,,,,RP,Ryan Bergert (43434327),Ryan Bergert,43434327,P,7300,KC@CWS 06/28/2026 02:10PM ET,KC,0
,,,,,,,,,,,,,,,SP,Robby Snelling (43434326),Robby Snelling,43434326,P,7300,MIA@STL 06/28/2026 02:15PM ET,MIA,3.85
,,,,,,,,,,,,,,,SP,Eury Perez (43434328),Eury Perez,43434328,P,7300,MIA@STL 06/28/2026 02:15PM ET,MIA,14.72
,,,,,,,,,,,,,,,SP,Coleman Crow (43434329),Coleman Crow,43434329,P,7300,CHC@MIL 06/28/2026 02:10PM ET,MIL,4.64
,,,,,,,,,,,,,,,SP,Brandon Sproat (43434331),Brandon Sproat,43434331,P,7300,CHC@MIL 06/28/2026 02:10PM ET,MIL,11.12
,,,,,,,,,,,,,,,SP,Robert Gasser (43434332),Robert Gasser,43434332,P,7300,CHC@MIL 06/28/2026 02:10PM ET,MIL,13.15
,,,,,,,,,,,,,,,SP,Jackson Jobe (43434334),Jackson Jobe,43434334,P,7200,HOU@DET 06/28/2026 01:40PM ET,DET,0
,,,,,,,,,,,,,,,SP,Troy Melton (43434335),Troy Melton,43434335,P,7200,HOU@DET 06/28/2026 01:40PM ET,DET,18.39
,,,,,,,,,,,,,,,SP,Justin Verlander (43434336),Justin Verlander,43434336,P,7200,HOU@DET 06/28/2026 01:40PM ET,DET,-4.55
,,,,,,,,,,,,,,,RP,Anthony Kay (43433718),Anthony Kay,43433718,P,7200,KC@CWS 06/28/2026 02:10PM ET,CWS,11.11
,,,,,,,,,,,,,,,SP,Jameson Taillon (43434333),Jameson Taillon,43434333,P,7200,CHC@MIL 06/28/2026 02:10PM ET,CHC,11.25
,,,,,,,,,,,,,,,SP,Cade Povich (43434338),Cade Povich,43434338,P,7100,WSH@BAL 06/28/2026 01:35PM ET,BAL,8.32
,,,,,,,,,,,,,,,SP,Logan Allen (43434337),Logan Allen,43434337,P,7100,SEA@CLE 06/28/2026 01:40PM ET,CLE,19.4
,,,,,,,,,,,,,,,SP,Connor Prielipp (43433719),Connor Prielipp,43433719,P,7100,COL@MIN 06/28/2026 02:10PM ET,MIN,11.82
,,,,,,,,,,,,,,,SP,Brandon Young (43434342),Brandon Young,43434342,P,7000,WSH@BAL 06/28/2026 01:35PM ET,BAL,14.40
,,,,,,,,,,,,,,,SP,Zach Eflin (43434345),Zach Eflin,43434345,P,7000,WSH@BAL 06/28/2026 01:35PM ET,BAL,16.65
,,,,,,,,,,,,,,,SP,Keider Montero (43434343),Keider Montero,43434343,P,7000,HOU@DET 06/28/2026 01:40PM ET,DET,12.87
,,,,,,,,,,,,,,,RP,Drew Anderson (43434344),Drew Anderson,43434344,P,7000,HOU@DET 06/28/2026 01:40PM ET,DET,5.71
,,,,,,,,,,,,,,,SP,Logan Evans (43434339),Logan Evans,43434339,P,7000,SEA@CLE 06/28/2026 01:40PM ET,SEA,0
,,,,,,,,,,,,,,,RP,Cooper Criswell (43434340),Cooper Criswell,43434340,P,7000,SEA@CLE 06/28/2026 01:40PM ET,SEA,2.95
,,,,,,,,,,,,,,,SP,Bubba Chandler (43434341),Bubba Chandler,43434341,P,7000,CIN@PIT 06/28/2026 01:35PM ET,PIT,11.76
,,,,,,,,,,,,,,,RP,Spencer Miles (43434363),Spencer Miles,43434363,P,6900,TEX@TOR 06/28/2026 01:37PM ET,TOR,6.97
,,,,,,,,,,,,,,,SP,Yilber Diaz (43434353),Yilber Diaz,43434353,P,6900,HOU@DET 06/28/2026 01:40PM ET,DET,-17.3
,,,,,,,,,,,,,,,SP,Luis Castillo (43434352),Luis Castillo,43434352,P,6900,SEA@CLE 06/28/2026 01:40PM ET,SEA,11.32
,,,,,,,,,,,,,,,SP,Slade Cecconi (43434355),Slade Cecconi,43434355,P,6900,SEA@CLE 06/28/2026 01:40PM ET,CLE,11.74
,,,,,,,,,,,,,,,SP,Noah Schultz (43434354),Noah Schultz,43434354,P,6900,KC@CWS 06/28/2026 02:10PM ET,CWS,9.68
,,,,,,,,,,,,,,,SP,Mitch Keller (43433720),Mitch Keller,43433720,P,6900,CIN@PIT 06/28/2026 01:35PM ET,PIT,11.68
,,,,,,,,,,,,,,,RP,Hunter Barco (43434346),Hunter Barco,43434346,P,6900,CIN@PIT 06/28/2026 01:35PM ET,PIT,1.45
,,,,,,,,,,,,,,,SP,Jose Urquidy (43434347),Jose Urquidy,43434347,P,6900,CIN@PIT 06/28/2026 01:35PM ET,PIT,0.81
,,,,,,,,,,,,,,,RP,Carmen Mlodzinski (43434348),Carmen Mlodzinski,43434348,P,6900,CIN@PIT 06/28/2026 01:35PM ET,PIT,10.86
,,,,,,,,,,,,,,,RP,Antwone Kelly (43434349),Antwone Kelly,43434349,P,6900,CIN@PIT 06/28/2026 01:35PM ET,PIT,1.45
,,,,,,,,,,,,,,,RP,Wilber Dotel (43434350),Wilber Dotel,43434350,P,6900,CIN@PIT 06/28/2026 01:35PM ET,PIT,4.92
,,,,,,,,,,,,,,,SP,Thomas Harrington (43434351),Thomas Harrington,43434351,P,6900,CIN@PIT 06/28/2026 01:35PM ET,PIT,0
,,,,,,,,,,,,,,,SP,Chase Petty (43434357),Chase Petty,43434357,P,6900,CIN@PIT 06/28/2026 01:35PM ET,CIN,4.04
,,,,,,,,,,,,,,,RP,Jose Franco (43434358),Jose Franco,43434358,P,6900,CIN@PIT 06/28/2026 01:35PM ET,CIN,2.7
,,,,,,,,,,,,,,,SP,Connor Phillips (43434359),Connor Phillips,43434359,P,6900,CIN@PIT 06/28/2026 01:35PM ET,CIN,2.28
